id,statement,answer,explanation,category,effort_hours,multiplier,booth,source_url
1,"Spring Boot 3.5 will receive at least 12 months of community support after Spring Boot 4.0 launched.",false,"False — Boot 4.0 GA shipped 20 Nov 2025 and Boot 3.5 goes EOL 30 Jun 2026. That's barely 7 months to migrate while patches continue.",timeline,0,0.2,yes,https://spring.io/blog/2025/11/20/spring-boot-4-0-0-available-now/
2,"Jackson 3.0 changes its Maven group ID from com.fasterxml.jackson to tools.jackson.",true,"Jackson 3.0 moved to a new Maven group ID. Every dependency declaration needs updating.",dependencies,20,0,yes,https://github.com/FasterXML/jackson/blob/main/jackson3/MIGRATING_TO_JACKSON_3.md
3,"WebSecurityConfigurerAdapter has been removed in Spring Boot 4.0.",false,"False — this already happened in Spring Boot 3.0 (Spring Security 6.0). If you're on Boot 3.5 you've already made this change. The 4.0 migration has plenty of real security work to do — the DSL rewrite, PKCE enforcement, and Password Grant removal — but WebSecurityConfigurerAdapter isn't on that list.",security,0,0.2,no,https://docs.spring.io/spring-security/reference/6.5/migration-7/configuration.html
4,"The .and() method has been removed from the HttpSecurity DSL.",true,"Security configurations using the fluent .and() chain pattern must be rewritten using lambda-based configuration.",security,10,0,yes,https://docs.spring.io/spring-security/reference/6.5/migration-7/configuration.html
5,"In Jackson 3.0, JacksonException no longer extends IOException — it's now a RuntimeException.",true,"This means existing catch(IOException) blocks silently stop catching Jackson errors. Your code compiles but doesn't work.",silent-failures,10,0,yes,https://github.com/FasterXML/jackson/blob/main/jackson3/MIGRATING_TO_JACKSON_3.md
6,"Spring Boot 4.0 removes the OAuth 2.0 Password Grant entirely.",true,"System-to-system and mobile auth flows using the Password Grant will get 'unsupported grant type' errors at runtime.",security,20,0,yes,https://github.com/spring-projects/spring-security/issues/6003
7,"Jackson 3.0 changes the default date serialisation from numeric timestamps to ISO-8601 strings.",true,"APIs silently start returning '2025-11-06T05:30:00' instead of 1699257000000. No error, no warning — just different output.",silent-failures,10,0,yes,https://spring.io/blog/2025/10/07/introducing-jackson-3-support-in-spring/
8,"Spring Boot 4.0 removes a large number of deprecated classes that accumulated across the 2.x and 3.x lifecycle.",true,"The vast majority of deprecations were cleared in a single release. Code that compiled with warnings on 3.5 may not compile at all on 4.0.",removals,32,0,no,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
9,"Spring Boot 4.0 removes @MockBean and @SpyBean at compile time — code using them won't build.",false,"False — and that's exactly the trap. The annotations still compile; they're marked @Deprecated(forRemoval) but the classes are there. What's gone is MockitoPostProcessor, the machinery that wired them up. Your tests compile, run, and then fail with NullPointerExceptions because the mocked fields were never injected. Replace @MockBean with @MockitoBean and @SpyBean with @MockitoSpyBean.",testing,12,0,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
10,"Undertow has been completely removed as an embedded server option in Spring Boot 4.0.",true,"Apps using Undertow must switch to Tomcat 11 or Jetty 12. There's no upgrade path.",infrastructure,16,0,yes,https://github.com/spring-projects/spring-boot/wiki/Spring-Boot-4.0-Migration-Guide
